"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 11 11:59:45 WAT 2023","Fri Aug 11 11:59:45 WAT 2023","267","Sales CRM","Notes","","","","Delete a note",""
"passed","Fri Aug 11 12:00:00 WAT 2023","Fri Aug 11 12:00:00 WAT 2023","288","Contact management","Contacts","","","","Update a contact",""
"passed","Fri Aug 11 12:00:22 WAT 2023","Fri Aug 11 12:00:22 WAT 2023","281","Account","Process","","","","Return all the processes for your account",""
"failed","Fri Aug 11 11:59:59 WAT 2023","Fri Aug 11 12:00:00 WAT 2023","296","Contact management","Contacts","","","","Delete a contact",""
"passed","Fri Aug 11 12:00:26 WAT 2023","Fri Aug 11 12:00:26 WAT 2023","349","Account","Senders","","","","Get all the dedicated IPs for your account",""
"passed","Fri Aug 11 11:59:52 WAT 2023","Fri Aug 11 11:59:53 WAT 2023","272","Marketing","SMS Campaigns","","","","Send your SMS campaign immediately",""
"failed","Fri Aug 11 11:59:58 WAT 2023","Fri Aug 11 11:59:58 WAT 2023","341","Contact management","Contacts","","","","Create Contact via DOI (Double-Opt-In) Flow",""
"passed","Fri Aug 11 12:00:26 WAT 2023","Fri Aug 11 12:00:26 WAT 2023","258","Account","Senders","","","","Update a sender",""
"passed","Fri Aug 11 12:00:01 WAT 2023","Fri Aug 11 12:00:01 WAT 2023","292","Contact management","Folders","","","","Returns a folder's details",""
"passed","Fri Aug 11 11:59:51 WAT 2023","Fri Aug 11 11:59:51 WAT 2023","278","Marketing","SMS Campaigns","","","","Returns the information for all your created SMS campaigns",""
